Frequency,Cp,Rp
20 Hz,1.9661 nF,45.4904 M?
70 Hz,1.9129 nF,20.1263 M?
120 Hz,1.8799 nF,16.4355 M?
170 Hz,1.861 nF,11.6626 M?
220 Hz,1.8403 nF,9.5963 M?
270 Hz,1.8323 nF,8.0289 M?
320 Hz,1.8253 nF,7.1065 M?
370 Hz,1.8187 nF,6.2897 M?
420 Hz,1.8147 nF,5.733 M?
470 Hz,1.8093 nF,5.2609 M?
520 Hz,1.8053 nF,4.8631 M?
570 Hz,1.8011 nF,4.5648 M?
620 Hz,1.7981 nF,4.2724 M?
670 Hz,1.7955 nF,4.0388 M?
720 Hz,1.7927 nF,3.8322 M?
770 Hz,1.7904 nF,3.6554 M?
820 Hz,1.7885 nF,3.4907 M?
870 Hz,1.7864 nF,3.3423 M?
920 Hz,1.7844 nF,3.2264 M?
970 Hz,1.7828 nF,3.1026 M?
